Tags,Checked,Name,Formula,Annot. Source: Predicted Compositions,Annot. Source: mzCloud Search,Annot. Source: Metabolika Search,Annot. Source: ChemSpider Search,Annot. DeltaMass [ppm],Calc. MW,m/z,RT [min],Area (Max.),# ChemSpider Results,# mzCloud Results,mzCloud Best Match,mzCloud Best Match Confidence,mzCloud Best Sim. Match,MS2,Reference Ion,"Group Area: Control, Sample","Group Area: Dosed, Sample","Group CV [%]: Control, Sample","Group CV [%]: Dosed, Sample","Ratio: (Dosed, Sample) / (Control, Sample)","Log2 Fold Change: (Dosed, Sample) / (Control, Sample)","P-value: (Dosed, Sample) / (Control, Sample)","Adj. P-value: (Dosed, Sample) / (Control, Sample)",Peak Rating (Max.),Peak Rating: 5weeks_1_nonpolar_neg.raw (F1),Peak Rating: 5weeks_2_nonpolar_neg.raw (F2),Peak Rating: 5weeks_3_nonpolar_neg.raw (F3),Peak Rating: 5weeks_4_nonpolar_neg.raw (F4),Peak Rating: 8weeks_1_nonpolar_neg.raw (F9),Peak Rating: 8weeks_2_nonpolar_neg.raw (F10),Peak Rating: 8weeks_3_nonpolar_neg.raw (F11),Peak Rating: 8weeks_4_nonpolar_neg.raw (F12),Peak Rating: 12weeks_1__nonpolar_neg.raw (F17),Peak Rating: 12weeks_2_nonpolar_neg.raw (F18),Peak Rating: 12weeks_3_nonpolar_neg.raw (F19),Peak Rating: 12weeks_4_nonpolar_neg.raw (F20),Peak Rating: 5weeks_9_nonpolar_neg.raw (F5),Peak Rating: 5weeks_10_nonpolar_neg.raw (F6),Peak Rating: 5weeks_11_nonpolar_neg.raw (F7),Peak Rating: 5weeks_12_nonpolar_neg.raw (F8),Peak Rating: 8weeks_9_nonpolar_neg.raw (F13),Peak Rating: 8weeks_10_nonpolar_neg.raw (F14),Peak Rating: 8weeks_11_nonpolar_neg.raw (F15),Peak Rating: 8weeks_12_nonpolar_neg.raw (F16),Peak Rating: 12weeks_9_nonpolar_neg.raw (F21),Peak Rating: 12weeks_10_nonpolar_neg.raw (F22),Peak Rating: 12weeks_11_nonpolar_neg.raw (F23),Peak Rating: 12weeks_12_nonpolar_neg.raw (F24),Peak Rating: Blk8_nonpolar_neg.raw (F25),Peak Rating: Blk9_nonpolar_neg.raw (F26),Peak Rating: Blk10_nonpolar_neg.raw (F27),Peak Rating: Blk11_nonpolar_neg.raw (F28),Peak Rating: Blk12_nonpolar_neg.raw (F29),Peak Rating: Blk13_nonpolar_neg.raw (F30),Peak Rating: Blk14_nonpolar_neg.raw (F31)
,FALSE,12-HSA,C18 H36 O3,Full match,No results,No results,Full match,-1.19,300.26609,299.25881,2.351,3775578567,33,0,,,,DDA for preferred ion,[M-H]-1,1853913250,1963967472,37.32845547,38.79993344,1.059,0.08,0.430096708,0.849727907,7.5,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.5,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,1.7,,2.3,,,,
,FALSE,Deoxycholic acid,C24 H40 O4,Full match,Full match,No results,Not the top hit,-1.43,392.2921,391.28482,1.64,3301311327,38,2,88.8,9.4,,DDA for preferred ion,[M-H]-1,1388661070,1618588243,50.6528319,42.25122362,1.166,0.22,0.676761704,0.936998353,7,6.6,7,7,6.6,6.6,6.6,6.6,7,6.6,6.6,6.6,7,6.6,7,7,7,6.6,6.6,7,6.6,6.6,7,6.6,7,4.8,5.4,5.4,5,3.9,5,2.1
,FALSE,Cholesterol sulfate,C27 H46 O4 S,Full match,No results,No results,Full match,-1.43,466.31101,465.30373,7.004,2291305379,1,0,,,,DDA for preferred ion,[M-H]-1,934591206.8,661895618.9,42.96365584,20.77958943,0.708,-0.5,0.00888868,0.223643363,8,6.6,6.6,6.6,6.6,7,6.6,6.6,6.6,6.6,6.6,6.6,6.6,7.6,8,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,8,,,,,,,
,FALSE,3-Carboxyindole,C9 H7 N O2,Full match,No results,Partial match,Full match,-0.18,161.04765,206.04584,1.12,2110631416,47,0,,,,DDA for preferred ion,[M+FA-H]-1,395296342.3,492339823,83.51887377,92.19279228,1.245,0.32,0.658134628,0.931532039,7,6.6,7,7,7,7,7,7,6.6,6.6,6.6,6.6,7,7,6.6,6.6,6.6,7,6.6,7,7,6.6,7,6.6,6.6,4.4,4.4,5.4,5.9,5.2,,2.3
,FALSE,NP-012534,C15 H24 O5,No match,Invalid mass,No results,No match,-63369.24,266.15522,265.14794,7.332,1913870410,5,5,87.9,9.4,,DDA for preferred ion,[M-H]-1,562983552.2,608638259.1,73.00559427,60.16235782,1.081,0.11,0.242141296,0.736578279,5.8,5.8,,5.5,,5.1,3.9,3.9,4.3,,5.1,,,4.7,4.7,,,,5.5,5.5,5.8,,,,,,,,,,,
,FALSE,Cholic acid,C24 H40 O5,Full match,Full match,No results,Full match,-1.24,408.28707,407.27978,1.246,1827797291,31,5,89.5,9.5,,DDA for preferred ion,[M-H]-1,853398848.2,1027089140,38.85700257,25.0995694,1.204,0.27,0.176604883,0.684879505,8,7.1,7.1,6.7,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.6,7.6,7.6,7.6,8,7.6,7.6,7.6,7.6,7.6,6.8,8,5,4.6,5.2,4.6,2.7,3.1,
,FALSE,NP-012534,C15 H24 O5,No match,Invalid mass,No results,No match,-63369.58,266.15512,265.14785,3.077,1723313828,5,3,86.6,9.3,,DDA for preferred ion,[M-H]-1,402948925.9,543850406.1,35.80611504,65.46170097,1.35,0.43,0.035978341,0.399050062,7.1,5.6,7.1,6,6.3,6.7,7.1,6.3,5.2,3.7,6.3,4.1,7.1,5.5,5.5,5.5,5.1,6.6,5.8,6.2,6.6,5.1,6.2,5.8,5.8,,,,,,,
,FALSE,NP-012534,C15 H24 O5,No match,Invalid mass,No results,No match,-63369.64,266.15511,265.14783,3.908,1706447507,5,5,88.7,9.4,,DDA for preferred ion,[M-H]-1,759437283.7,1011286919,31.75804888,31.82870061,1.332,0.41,0.067606235,0.4993771,7.1,6.7,7.1,7.1,5.6,6.7,7.1,6.3,5.6,6,6.7,5.6,7.1,6.7,7.1,6.3,7.1,7.1,7.1,6.3,6.7,7.1,6.7,7.1,6.7,,,,,,,
,FALSE,,C19 H34 O5 S,Full match,No results,No results,No match,-1.2,374.21224,373.20497,1.487,1679140392,1,0,,,,DDA for preferred ion,[M-H]-1,210243451.5,284316701.8,83.98416673,94.38212272,1.352,0.44,0.172546286,0.679613432,7,6.6,6.6,7,6.6,6.6,6.6,6.6,6.6,7,7,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,7,6.6,6.6,6.6,7,7,,,,,,,
,FALSE,,C H Br Cl N O4,Full match,No results,No results,No results,-7.54,204.8762,203.86893,32.661,1536323728,0,0,,,,DDA for preferred ion,[M-H]-1,282937906.3,426217074.9,101.5312475,71.30664,1.506,0.59,0.098910278,0.56905009,6.6,2,3.2,3.9,1.7,,0.9,2.4,5.5,,3.2,2,,2.4,,,,4.3,1.3,2.4,,,1.7,,,,2,5.1,2.4,2,,6.6
